row_id,주제,내용,상세내용,주장/검증 매체,label
24,경제,정부가 전세사기 매물 경매 중지할 수 있다,"['정부', '경매', '전세', '사기', '피해자', '대책', '중지', '있다', '하는', '매물', '대출', '정책', '금융', '요청', '캠코', '상황', '채권자', '피해', '때문', '대통령', '요구', '있지만', '정작', '체감', '주로', '예방', '도움', '않기', '당장', '셋값', '돌려', '기존', '윤석열', '절차', '중단', '지시', '현재', '채권', '주택', '민간', '순위', '강제', '업체']",언론사 자체 문제제기,판단 유보
25,경제,"SMP 상한제 시행, 민간발전사의 실질적 손해 없다","['상한', '발전', '민간', '손실', '전력', '사업자', '가격', '했다', '태양광', '실제', '하지', '한전', '한국전력', '지난해', '발생', '연료비', '내용', '보전', '실질', '손해', '업자', '제로', '도매', '실시', '하면', '발언', '석탄', '보상', '인터뷰', '통계', '월보', '봤다']",한국전력공사,판단 유보
26,경제,향토은행을 강조한 전북은행이 고금리 국면에 ‘이자장사’를 하고 있다,"['은행', '전북', '금리', '이자', '대출', '대금', '리차', '장사', '금융', '도민', '높은', '대상', '통해', '지역', '연합', '공시', '예금', '가장', '가계', '하는', '향토', '전주시', '신용', '한다', '차는', '서민', '시중', '막대', '전윤미', '의원', '다른', '했다', '정책', '탄생', '국내', '비교', '주민', '소비자', '포털', '평균']",전윤미,판단 유보
27,경제,건강보험 재정 파탄론은 근거 없다,"['건강', '보험', '재정', '상황', '파탄', '했다', '정부', '흑자', '지출', '지난해', '보험료', '부의', '국민', '하는', '공단', '수입', '의료', '있다', '정책', '위원회', '지원', '대통령', '근거', '구조', '따라', '때문', '기록', '김성주', '민주당', '자료', '역대', '되는', '코로나', '수요', '관련', '국회', '적자', '방식', '더불어', '윤석열', '보면', '없다는', '확인', '누적', '다만', '영향', '현재', '적립금', '문재인', '보장', '강화', '설명', '이런', '아니라', '결정', '된다', '관리', '법적', '기준']",김성주,판단 유보
28,경제,IMF는 한국 재정을 균형 재정으로 평가한다,"['재정', '한국', '균형', '평가', '의원', '했다', '공청회', '발언', '인구', '민주당', '준칙', '나스', '수입', '경제', '용진', '더불어', '국회', '있다', '세금', '변화', '한다', '기획재정부', '국세', '국가', '된다', '올해', '구조', '기획', '위원회', '위원', '주최', '언급', '우리', '인터뷰', '하는', '관리', '같은', '부총', '기재부', '따르면', '세수', '저출산', '고령화']",고용진,판단 유보
29,경제,역대 최저인 2022년 국민연금 수익률(-8.22%)은 국민연금공단 기금운용본부가 전북 전주에 있는 탓이다,"['수익률', '전주', '국민연금', '기금', '운용', '전북', '본부', '서울', '이전', '한국', '공단', '금융', '공사', '이사장', '정부', '있다', '국내', '연기금', '전광우', '지역', '했다', '공약', '역대', '원인', '하락', '투자', '이명박', '있는', '연금', '했고', '됐다', '부가', '과정', '기록', '지난해', '최저', '다시', '악화', '인력', '대통령', '보도', '통계']","언론보도, 전광우",판단 유보
30,경제,"평택시 고덕지역 월세, 서울 강남보다 비싸다","['월세', '평택', '고덕', '강남구', '부동산', '지역', '거래', '임대차', '커뮤니티', '고덕동', '높은', '하는', '게시', '서울', '했다', '계약', '자료', '평균', '단독', '다가', '인터넷', '금리', '있다', '고덕면', '지적', '물이', '분당구', '중부일보', '국토교통부', '공개', '시스템', '평택시', '주택']",온라인 커뮤니티,판단 유보
31,경제,한국의 예금자 보호 정도는 해외 주요국과 비교했을때 미흡하다,"['예금', '보호', '은행', '금융', '보험', '한도', '미국', '비교', '같은', '규모', '한국', '국가', '파산', '주요', '해외', '회사', '인당', '금액', '따져', '상품', '상업', '실리콘밸리', '공사', '제도', '통해', '전액', '보증', '위기', '경제', '국내', '현재', '대비', '되는', '보니', '상황', '아니라', '대해', '고객', '입니다', '관련', '받을', '역시', '가입', '없습니다', '수준', '영국', '보장', '기준', '대상', '화면', '캡쳐']",언론사 자체 문제제기,사실
32,경제,"주 69시간 근로시간제도 개편, 20·30 청년층은 좋아한다","['근로시간', '제도', '개편', '세대', '청년', '국민', '일종', '반대', '의견', '검토', '하는', '하면서', '정책', '의장', '했다', '나와라', '권리', '의식', '밝혔다', '새로고침', '근로', '있다', '면서', '내용', '정부', '최대', '지난', '관련', '좋아한다', '노조', '확대', '입장', '대통령', '지시', '전경련', '대도']",성일종,대체로 사실 아님
33,경제,지하철 (노령층) 무임승차로 서울교통공사 재정 적자가 가중되고 있다,"['무임', '공사', '서울', '교통', '승차', '노인', '적자', '지하철', '재정', '손실', '있다', '의원', '토론회', '참석', '가중', '했다', '수송', '도시철도', '오세훈', '서울시장', '소송', '정책', '되고', '이상', '진성준', '운영', '기관', '인구', '지난', '발언', '더불어', '민주당', '전국', '자료', '분석', '결과', '제도로', '시장', '요금', '부담', '국가', '도시', '철도공사', '증가']",오세훈,사실
34,경제,한국 기업이 미국 반도체 과학법의 보조금으로 미국에 반도체 공장을 지으면 손해다,"['미국', '반도체', '보조금', '조건', '발표', '투자', '하는', '공장', '지원', '달러', '기업', '정부', '산업', '전자', '따져', '한국', '계획', '입니다', '바이든', '대통령', '과학', '했습니다', '내용', '대한', '첨단', '하이닉스', '현지', '건설', '이익', '경우', '원금', '국가', '보니', '방송', '화면', '캡처', '방문']",언론사 자체 문제제기,판단 유보
35,경제,난방비 폭탄은 문재인 정부의 탈원전 때문이다,"['난방', '원전', '인상', '하는', '정부', '도시가스', '했다', '한국', '문재인', '가정', '에너지', '전기', '요인', '보일러', '수급', '증가', '요금', '전기요금', '정책', '세계', '대부분', '차지', '천연가스', '외부', '있다', '급등', '발전', '주요', '원인', '멀쩡한', '폐기', '만들었고', '이를', '통해', '윤석열', '부담', '전가', '입국', '비중', '장기', '계획', '수입량', '김기현', '의원', '가격', '유럽', '지난해']",김기현,대체로 사실 아님
36,경제,노조가 정부 보조금 사용 내역 공개를 거부했다,"['정부', '노조', '노총', '사용', '회계', '했다', '보조금', '국민', '제출', '공개', '거부', '대통령', '원금', '투명', '조합원', '자료', '하는', '윤석열', '지원', '노동조합', '문제', '있다', '라며', '세인', '발언', '받은', '감사', '보고', '지자체']",윤석열,전혀 사실 아님
37,경제,윤석열 대통령이 자동차세 연납 할인 혜택 축소했다,"['할인', '금리', '자동차세', '시행', '지방', '정부', '축소', '세법', '윤석열', '대통령', '올해', '시민', '정권', '제외', '실제', '혜택', '하는', '됐다', '지자체', '제도', '인터뷰', '입니다', '신설', '당시']",인터넷 커뮤니티,대체로 사실 아님
38,경제,"서울시, ‘택시비 인상 따른 교통비 문제’ 대안 마련했다","['택시', '서울시', '인상', '요금', '버스', '심야', '부담', '노선', '했다', '대안', '마련', '하는', '이용', '지출', '정책', '운행', '겹치', '서민', '크다', '시민', '있다', '운영', '시간', '운송', '기존', '야간', '통계청', '가계', '소득', '따르면', '교통비', '대비', '증가', '증차', '교통', '상황', '따른', '서울특별시', '사업', '조합', '결과', '담당자', '인터뷰', '지하철', '거리', '할증', '분석', '연장', '지난해']",언론사 자체 문제 제기,사실
39,경제,라돈안전 제품 인증 갱신 없이도 안전하다,"['인증', '라돈', '업체', '안전', '갱신', '국내', '침대', '제품', '관계자', '주요', '인터뷰', '없이도', '하지', '한다', '안전성', '시즌', '현황', '결과', '있는', '취득', '안전하다', '업계', '한국', '표준', '협회', '시험', '성적']",언론사 자체 문제제기,판단 유보
40,경제,번개탄 생산 금지는 자살 예방 대책이다,"['자살', '개탄', '금지', '화제', '생산', '예방', '산화', '사용', '물건', '발표', '위해', '정부', '보건복지부', '유해', '번개', '성형', '지난', '기준', '자료', '관리', '강화', '체제', '자살률', '대책', '산림청', '기본', '계획', '공청회', '수단', '되는', '인체', '낮은', '개발', '보급', '하는', '판매', '모두', '부수', '함량', '질산', '바륨', '빈번', '하게', '농약', '친환경', '내용', '포함', '했다', '낮추려고', '한다', '보도', '논란', '관련', '낮춘']",보건복지부,대체로 사실 아님
41,경제,"우크라 전쟁 1주년…""민간인 공격 안한다""는 푸틴 약속 지켜졌나","['민간인', '러시아', '우크라이나', '했다', '러시아군', '대통령', '공격', '푸틴', '쇼핑', '센터', '부차', '지난해', '전쟁', '해당', '발견', '시신', '하지', '보도', '지역', '블라디미르', '않겠다', '당시', '정황', '있다', '최소', '됐다', '공식', '점령', '격납고', '학살']",블라디미르 푸틴,대체로 사실 아님
42,경제,5인 미만 사업장 근로기준법 적용으로 소상공입 폐업으로 내몰린다,"['규정', '사업', '적용', '근로기준법', '업자', '미만', '자영', '폐업', '보고', '근로', '연차', '휴가', '있습니다', '대통령', '업무', '연장', '야간', '휴일', '가산', '수당', '지급', '해야', '유급', '줘야', '영상', '이유', '의한', '해고', '제한', '부당해고', '구제', '신청', '있게', '정부', '커뮤니티', '고용노동부', '계획', '범위', '확대', '이하', '언론사', '국민', '인터뷰', '코로나', '직원', '사장', '입니다', '추진']",언론보도 및 인터넷 커뮤니티,대체로 사실
43,경제,"집값 급등은 정부 정책 탓이고, 집값 하락은 금리 탓이다","['집값', '금리', '주택', '기준금리', '정부', '언론', '영향', '가격', '정책', '보도', '대출', '폭등', '규제', '하락', '상승', '했다', '지난', '국토', '연구원', '미치는', '하자', '문재인', '아닌', '수급', '요인', '공급', '시장', '부동산', '인상', '인하', '주요', '보고서', '비판', '했던', '변동', '있다', '한국은행', '가장', '원인', '부족', '정작', '당시', '배경', '시기', '분석', '자금', '기여']",언론 보도,전혀 사실 아님
44,경제,1만 원권과 5만 원권 사이 지폐로는 3만 원권이 적합하다,"['체계', '화폐', '액면', '의원', '한국은행', '한국', '단위', '사이', '사용', '국민', '내용', '지폐', '하태경', '자신', '페이스북', '발행', '적합하다', '따져', '도입', '중간', '세계', '설명', '했습니다', '합니다', '나라', '있습니다']",하태경,대체로 사실 아님
45,경제,라돈안전 제품 인증 갱신 없이도 안전하다,"['난방', '아파트', '구축', '신축', '단지', '에너지', '비해', '방식', '전용', '했습니다', '수준', '차이', '입니다', '지역', '입주한', '사용', '건설', '폭탄', '사이', '개별', '단열', '날씨', '때문', '중앙', '주택', '관리', '평균', '비는', '작년', '창호', '손실', '시공', '기술']",언론사 자체 문제제기,판단 유보
46,경제,헝가리식 저출산 대책이 출산율을 끌어올린다,"['헝가리', '저출산', '정책', '출산율', '탕감', '대출', '대책', '출산', '원금', '증가', '위원회', '하는', '결혼', '나경원', '언급', '언론', '인터뷰', '통해', '의원', '결과', '국회의원', '도입', '발언', '통계청', '주택', '했습니다', '끌어', '하면', '상승', '따르면', '이었던', '여성', '인당', '출생']",나경원,판단 유보
47,경제,문재인 정부 집권 후반기 가스요금 인상 요인이 있었음에도 요금을 동결했다,"['가격', '에너지', '인상', '가스', '정부', '요금', '가스요금', '했습니다', '도시가스요금', '산업', '통상', '자원부', '국제', '액화천연가스', '수입', '추이', '시작', '상승', '시기', '조정', '당시', '상황', '따져', '유럽', '천연가스', '변동', '이후', '지난해', '지적', '결정', '독립', '문재인', '동결', '했다', '안정', '위해', '하는']",산업통상자원부,대체로 사실
48,경제,주택가격 상승이 출산율 하락에 미치는 영향이 크다,"['주택', '가격', '출산율', '상승', '영향', '출산', '하락', '미치는', '연구원', '보고서', '결과', '국토', '정책', '충격', '하는', '있다', '했다', '연구소', '변동', '감소', '자녀', '통해', '따른', '분석', '연구', '크다', '육아', '국가', '미래', '전략', '논문', '따라서', '주택가', '보도자료', '추정', '발생', '매매', '대한', '혼인', '부정', '부담', '가구', '크게', '주거', '비용', '소비']",국토연구원,사실
49,경제,원희룡 국토교통부 장관의 “규제를 푼다고 주택 가격이 오르지 않을 것.”이란 발언,"['가격', '분양', '영향', '규제', '연구', '매매', '전매', '아파트', '주택', '결과', '미치는', '기준금리', '장관', '부동산', '완화', '했다', '분석', '원희룡', '금리', '발언', '변동', '어려울', '대출', '상황', '전문가', '연구원', '관계', '자료', '정부', '상승', '강화', '지역', '어려운', '하기', '국토', '택시', '통화', '금융정책', '특성', '우리나라', '제한', '있다', '상한']",원희룡,절반의 사실
50,경제,"‘한정판’ 자동차, 사고로 인한 가치하락 보상 시 희소가치는 인정되지 않는다","['보상', '자동차', '한정판', '사고', '가치', '차량', '하락', '가액', '따른', '규모', '보험', '모델', '희소가치', '보험료', '인한', '손해', '있다', '감가상각', '받을', '경우', '기준', '규정', '출고', '이내', '관련', '내용', '존재', '않는다', '되지', '이러한', '표준', '약관', '차이', '격락']",언론사 자체 문제 제기,사실
51,경제,삼성생명법'은 세계적 추세에 발맞춘 법안이다 vs 아니다,"['열사', '하는', '의원', '취득', '규제', '생명', '보유', '국제', '확인', '삼성', '액수', '추세', '새로운', '회계기준', '한도', '보험', '원가', '주식', '계산', '세계', '근거', '투자', '무관', '국내']",박용진,판단 유보
52,경제,우리나라 법인세 실효세율이 국제적으로 높은 수준이다,"['세율', '법인세', '최고', '실효', '기업', '법인', '실제', '부담', '수준', '비교', '공제', '기준', '나라', '높은', '했다', '회원', '우리나라', '한국', '재정', '연구원', '있다', '경우', '다른', '기획재정부', '보도', '보고서', '지방세', '국가', '감면', '조세', '세금', '적용', '국제', '참고자료', '국세', '개국', '따라', '정부', '인하', '과세표준', '소득', '대기업', '되는', '기재부', '포함', '국내', '하기', '각종', '납부', '집계', '교수', '국세청', '데이터', '전체', '된다', '과표', '제도', '공식']",기획재정부,대체로 사실 아님
53,경제,"‘제로 칼로리’ 음료, 정말로 칼로리 없다","['칼로리', '제로', '음료', '설탕', '감미료', '표시', '인공', '식품', '단맛', '수크랄로스', '아세', '칼륨', '있다', '미만', '코카콜라', '아스파탐', '실제', '매우', '광고', '경우', '펩시']",언론사 자체 문제제기,대체로 사실
54,경제,"국내 전기차 보조금, 테슬라가 싹쓸이했다","['보조금', '전기차', '지급', '미국', '현황', '국내', '환경부', '국적', '상반기', '비중', '인플레이션', '감축', '차별', '정책', '테슬라', '팩트', '자료', '언론보도', '제공', '제조', '사별']",언론보도,전혀 사실 아님
55,경제,안전운임제 적용 이후 화물차 교통사고가 줄어들었다,"['운임', '안전', '화물', '시행', '화물차', '정부', '한국', '안전운', '임제', '교통사고', '연대', '적용', '효과', '교통', '연구원', '한시', '감소', '영향', '각각', '확인', '했습니다', '과속', '제의', '제도', '이후', '분석', '결과']",언론사 자체 문제제기,절반의 사실
56,경제,각 분야 유명 스타트업이 흔들리고 있다,"['스타트업', '있다', '매각', '투자', '기업', '사업', '했다', '서비스', '플랫폼', '경영', '글로벌', '정리해고', '하는', '기업가', '금리', '인상', '대규모', '여파', '국내', '네트워크', '운영', '크리에이터', '수익']",언론사 자체 문제제기,사실
57,경제,유럽 선진국에서도 파업 손해배상 청구가 가능하다,"['파업', '행위', '불법', '있습니다', '청구', '손해배상', '손해', '쟁의', '프랑스', '영국', '판례', '노동조합', '했습니다', '대해', '배상', '독일', '경우', '대한', '경영', '유럽', '국가', '가능하다고', '규정']",한국경영자총협회,절반의 사실
58,경제,전기차는 화재에 취약하다,"['화재', '전기차', '발생', '배터리', '내연기관차', '했다', '있다', '실제', '한다', '시험', '안전', '대한', '기준', '지난', '원인', '차량', '취약', '안전성', '자동차', '요인', '대전', '추정', '결과', '내연기관', '확인', '소비자', '기존', '소방청', '따르면', '통계', '하면', '위험', '확보', '위해', '올해', '증가', '국토교통부', '이를', '해야', '정부']","SNS, 온라인 커뮤니티, 다수 언론의 보도",절반의 사실
59,경제,식품 겉면 “판매 1위 (하고 싶다)” 문구는 표시광고법 위반이다,"['광고', '소비자', '해당', '기만', '했다', '표시', '하고', '싶다', '오인', '소지', '표현', '식약처', '글씨', '오해', '자유', '소시지', '위반', '식품', '겉면', '마케팅', '대해', '만큼', '전문가', '판단', '표기', '판매', '실제', '인증', '띄는', '도안', '작은', '범주', '경우', '하는', '본다']",식품 겉면에 표기된 '1위 하고싶다'는 문구,전혀 사실 아님
60,경제,EU의 역외 보조금 규제 도입으로 인해 해외진출 기업의 부담 커진다,"['보조금', '규제', '기업', '세미나', '외보', '조금', '상공회의소', '대응', '했다', '역외', '동향', '무역', '협회', '법안', '미국', '방안', '보도자료', '한국', '하는', '우리', '조사', '있는', '법무', '법인', '세종', '최근', '입법', '개최', '유럽', '부담', '커진다', '밝혔다', '내용', '시장', '경쟁법', '합병', '당국', '한다', '회장', '최태원', '공동', '해외', '진출', '관련', '수출', '입장', '추진', '제출', '따르면', '조달', '정부', '있다', '경쟁', '주의', '된다', '변호사', '투자', '대해']",대한상공회의소,대체로 사실
61,경제,"냉동식품, 분할을 위해 일시적 해동 후 재냉동이 된 식품은 안전하다","['해동', '식품', '냉동', '식약처', '냉동식품', '허용', '기준', '했다', '분할', '보관', '일시', '하는', '위해', '라며', '개정안', '관리', '냉장', '소비자', '생산', '규격', '경우', '국민', '개정', '통해', '구관', '원료', '위생', '일반', '지난달', '편의', '품질', '목적', '된다', '판매', '그간', '발생', '있는', '우려', '서울', '인터뷰', '이번', '항목']",언론사 자체 문제 제기,사실
62,경제,쌀 자동시장격리 도입하면 연평균 1조원 국가 재정 낭비된다,"['시장', '격리', '생산', '했다', '조정제', '영향', '있다', '정부', '분석', '관리', '라며', '한다', '해야', '물량', '민주당', '양곡', '개정안', '면적', '규모', '대한', '정책', '기후', '변동', '하는', '시기', '대책', '가격', '목표', '농촌', '연구원', '의무', '화의', '보고서', '예산', '소요', '전망', '시행', '위원장', '않는', '방법', '지난해', '쌀값', '폭락', '문재인', '재정', '투입', '수급', '위원', '비량', '수확', '매입', '문제', '안정']",한국농촌경제연구원,판단 유보
63,경제,재건축부담금 낮춰도 재건축 사업 활성화하기 어렵다,"['재건축', '부담', '초과', '이익', '제도', '주택', '부과', '방안', '사업', '환수', '했습니다', '활성화', '시장', '합리화', '발표', '도입', '부동산', '국토교통부', '이후', '유예', '집값', '공급', '핵심', '면제', '확대', '서민', '주거', '안정', '하는', '지난', '됐습니다', '당시', '대상', '현실', '지적', '상승', '개선', '금액', '구간', '현행', '투기', '대책', '위해', '정부', '사회', '따른', '법률', '조정']",언론사 자체 문제 제기,대체로 사실
